Deaths,ObservationDate
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
17,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-22-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
1,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
17,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
0,01-23-2020
24,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
1,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
1,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
0,01-24-2020
40,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
1,01-25-2020
1,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
0,01-25-2020
52,01-26-2020
0,01-26-2020
0,01-26-2020
1,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
1,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
1,01-26-2020
0,01-26-2020
1,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
0,01-26-2020
76,01-27-2020
0,01-27-2020
0,01-27-2020
1,01-27-2020
0,01-27-2020
0,01-27-2020
1,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
1,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
1,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
1,01-27-2020
1,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
0,01-27-2020
125,01-28-2020
0,01-28-2020
0,01-28-2020
1,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
1,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
1,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
1,01-28-2020
0,01-28-2020
1,01-28-2020
1,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
0,01-28-2020
125,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
2,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
1,01-29-2020
0,01-29-2020
1,01-29-2020
0,01-29-2020
1,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
1,01-29-2020
1,01-29-2020
0,01-29-2020
1,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
0,01-29-2020
162,01-30-2020
0,01-30-2020
0,01-30-2020
2,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
1,01-30-2020
0,01-30-2020
1,01-30-2020
1,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
1,01-30-2020
0,01-30-2020
1,01-30-2020
2,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
0,01-30-2020
204,01-31-2020
0,01-31-2020
0,01-31-2020
2,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
1,01-31-2020
0,01-31-2020
1,01-31-2020
1,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
1,01-31-2020
2,01-31-2020
1,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
0,01-31-2020
249,02-01-2020
0,02-01-2020
0,02-01-2020
2,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
1,02-01-2020
1,02-01-2020
0,02-01-2020
0,02-01-2020
1,02-01-2020
1,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
1,02-01-2020
0,02-01-2020
2,02-01-2020
0,02-01-2020
1,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
2,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
0,02-01-2020
1,02-01-2020
1,02-01-2020
1,02-01-2020
1,02-01-2020
1,02-01-2020
1,02-01-2020
350,02-02-2020
0,02-02-2020
0,02-02-2020
2,02-02-2020
0,02-02-2020
0,02-02-2020
0,02-02-2020
2,02-02-2020
0,02-02-2020
1,02-02-2020
0,02-02-2020
1,02-02-2020
1,02-02-2020
0,02-02-2020
0,02-02-2020
0,02-02-2020
0,02-02-2020
1,02-02-2020
2,02-02-2020
0,02-02-2020
